CPF,Nome do Operador,Matrícula do Operador,Tipo de Atendimento,Canal de Atendimento,Tempo Médio de Atendimento (TMA) em minutos,Satisfação do Cliente (1-5),Protocolo,Data/Hora do Atendimento,Tempo de Espera em minutos,Produto/Serviço Relacionado,Resolução no Primeiro Contato?,Encaminhamento para Outro Setor,Tempo de Pós-Atendimento (minutos),Status do Atendimento
391.604.258-06,Thiago Leão,SAC-3128,Elogio,Telefone,11.9,3,PROTO-2025-03-9968,07/04/2025 00:51,4.3,TV por Assinatura,Não,Técnico,3.4,Reaberto
382.407.695-00,Dr. Rhavi Mendes,SAC-4392,Dúvida,E-mail,13.0,3,PROTO-2025-03-6666,17/01/2025 03:05,1.9,Telefonia,Não,Financeiro,2.5,Finalizado
459.316.082-06,Josué Siqueira,SAC-6359,Elogio,Chat,10.1,4,PROTO-2025-01-3360,26/02/2025 03:01,9.9,Planos,Não,Financeiro,0.8,Finalizado
721.398.405-50,Nathan Gonçalves,SAC-8729,Elogio,E-mail,10.0,4,PROTO-2025-02-1817,22/02/2025 01:51,5.9,Internet,Não,Comercial,3.0,Finalizado
038.549.176-00,Kamilly Barbosa,SAC-1172,Solicitação,WhatsApp,9.4,4,PROTO-2025-02-8761,24/02/2025 06:36,9.2,Internet,Não,Financeiro,2.5,Reaberto
380.796.254-92,Maria Cecília Vasconcelos,SAC-2399,Dúvida,Chat,10.6,2,PROTO-2025-02-1511,29/01/2025 18:55,6.5,Planos,Não,Comercial,2.7,Pendente
491.520.387-50,Cecilia Cassiano,SAC-7837,Elogio,WhatsApp,6.7,2,PROTO-2025-02-6034,13/01/2025 11:53,5.9,Planos,Não,Nenhum,2.1,Finalizado
067.491.583-66,Ana Liz da Conceição,SAC-4323,Solicitação,Telefone,5.2,5,PROTO-2025-04-1044,26/02/2025 09:48,5.5,TV por Assinatura,Não,Comercial,0.7,Finalizado
132.748.659-82,Manuella Machado,SAC-4402,Dúvida,E-mail,9.6,5,PROTO-2025-04-2419,08/02/2025 18:22,2.7,Telefonia,Sim,Nenhum,3.4,Reaberto
670.348.925-47,Nina Gonçalves,SAC-4308,Elogio,Telefone,8.6,4,PROTO-2025-02-3223,11/04/2025 19:02,8.1,Internet,Não,Comercial,0.8,Finalizado
236.098.157-95,Dr. Asafe Carvalho,SAC-4246,Solicitação,Chat,5.9,4,PROTO-2025-01-3626,03/03/2025 05:21,4.2,Telefonia,Não,Nenhum,1.4,Finalizado
629.437.081-78,Luara da Paz,SAC-1571,Elogio,Chat,12.1,4,PROTO-2025-01-8865,19/03/2025 05:50,9.4,Planos,Não,Financeiro,2.6,Pendente
073.248.651-35,Valentim Pacheco,SAC-7551,Solicitação,Telefone,8.7,5,PROTO-2025-02-9133,17/03/2025 07:33,5.9,Telefonia,Sim,Comercial,3.6,Pendente
514.973.086-66,Josué Andrade,SAC-3291,Solicitação,Telefone,4.8,2,PROTO-2025-04-4637,18/02/2025 21:48,5.3,Telefonia,Não,Comercial,4.7,Finalizado
034.957.628-92,Dr. Théo Moreira,SAC-8169,Reclamação,WhatsApp,7.2,2,PROTO-2025-04-8661,21/01/2025 05:12,3.3,Planos,Sim,Financeiro,3.9,Finalizado
192.845.673-19,Dr. Joaquim Câmara,SAC-3709,Dúvida,Chat,7.1,2,PROTO-2025-03-9606,12/02/2025 19:41,3.7,Internet,Sim,Comercial,1.2,Pendente
679.283.105-03,Thiago da Mota,SAC-5711,Dúvida,Chat,9.4,2,PROTO-2025-01-1496,30/03/2025 15:11,6.3,Telefonia,Sim,Técnico,2.7,Finalizado
435.796.028-29,Sofia Pastor,SAC-7724,Reclamação,Telefone,8.8,5,PROTO-2025-03-1520,15/01/2025 15:49,9.6,Telefonia,Sim,Financeiro,4.9,Pendente
804.359.217-97,Ana Cecília Rios,SAC-2722,Dúvida,WhatsApp,11.7,5,PROTO-2025-02-7739,21/01/2025 03:23,2.4,Telefonia,Não,Financeiro,2.0,Reaberto
516.348.297-19,Ana Beatriz Mendonça,SAC-8451,Elogio,Chat,11.3,2,PROTO-2025-01-5875,05/01/2025 08:43,4.8,Internet,Não,Técnico,1.9,Finalizado
820.375.961-03,Lunna Cunha,SAC-6894,Reclamação,WhatsApp,13.6,3,PROTO-2025-03-6780,02/04/2025 07:14,7.5,Internet,Sim,Nenhum,4.7,Pendente
530.847.926-74,José Miguel Cardoso,SAC-5036,Solicitação,E-mail,3.2,4,PROTO-2025-03-7188,15/03/2025 06:51,6.2,Internet,Não,Nenhum,4.6,Pendente
043.968.172-31,Bernardo Cunha,SAC-9843,Reclamação,Telefone,11.3,5,PROTO-2025-04-5149,08/02/2025 18:45,8.1,Telefonia,Não,Comercial,1.8,Reaberto
742.638.109-96,Luiza Mendonça,SAC-2730,Dúvida,Chat,3.3,4,PROTO-2025-01-6480,22/03/2025 07:07,4.0,Telefonia,Não,Técnico,3.4,Finalizado
958.073.612-02,Kaique Nascimento,SAC-8252,Elogio,WhatsApp,13.4,5,PROTO-2025-02-8297,05/03/2025 00:20,5.5,TV por Assinatura,Sim,Nenhum,3.3,Pendente
192.568.047-94,Hellena Silva,SAC-7228,Elogio,Telefone,5.3,1,PROTO-2025-02-3515,15/01/2025 23:38,3.8,Telefonia,Não,Técnico,2.1,Reaberto
231.709.865-03,Luan Fernandes,SAC-7243,Solicitação,WhatsApp,13.5,4,PROTO-2025-01-3884,20/02/2025 13:31,8.3,TV por Assinatura,Não,Comercial,2.0,Pendente
042.935.871-79,Marcos Vinicius Rezende,SAC-9295,Dúvida,WhatsApp,3.5,4,PROTO-2025-02-1151,13/02/2025 08:12,1.7,Telefonia,Sim,Comercial,0.6,Pendente
345.798.621-55,Dra. Maria Sophia Pires,SAC-7804,Reclamação,WhatsApp,12.5,2,PROTO-2025-02-8422,13/02/2025 14:35,0.9,Internet,Não,Comercial,1.7,Finalizado
720.839.564-00,Dr. Pedro Costela,SAC-1439,Dúvida,Telefone,14.8,5,PROTO-2025-04-9510,01/02/2025 20:09,3.9,Internet,Sim,Comercial,3.0,Pendente
890.167.453-00,Maria Clara Rocha,SAC-5391,Elogio,Chat,14.3,2,PROTO-2025-03-3084,15/02/2025 22:25,9.9,TV por Assinatura,Não,Técnico,3.3,Reaberto
642.517.809-49,Ana Sophia Câmara,SAC-2727,Elogio,Chat,8.3,4,PROTO-2025-02-3257,10/04/2025 03:18,3.3,TV por Assinatura,Não,Técnico,4.6,Pendente
234.591.706-70,Laura Fonseca,SAC-7332,Reclamação,WhatsApp,7.0,5,PROTO-2025-04-8454,05/01/2025 15:54,5.9,Telefonia,Não,Técnico,3.2,Pendente
740.692.315-52,Laura da Paz,SAC-5985,Dúvida,WhatsApp,12.5,5,PROTO-2025-03-5198,01/01/2025 05:51,4.6,Telefonia,Não,Comercial,3.9,Pendente
801.569.247-49,Igor Moraes,SAC-7150,Solicitação,WhatsApp,6.1,1,PROTO-2025-02-4468,20/02/2025 11:24,5.8,TV por Assinatura,Sim,Nenhum,4.3,Reaberto
753.624.801-62,Ana Julia Caldeira,SAC-2550,Dúvida,WhatsApp,10.7,2,PROTO-2025-01-2644,16/01/2025 04:02,2.1,Telefonia,Sim,Comercial,3.1,Finalizado
821.763.405-07,Juliana Novais,SAC-4753,Elogio,WhatsApp,7.1,4,PROTO-2025-03-6983,25/03/2025 23:10,2.5,TV por Assinatura,Não,Nenhum,2.4,Reaberto
716.840.293-50,Calebe Novais,SAC-7572,Dúvida,Chat,5.5,3,PROTO-2025-01-1904,08/03/2025 04:02,2.0,Telefonia,Não,Técnico,1.9,Reaberto
351.608.274-71,Sr. Levi Souza,SAC-4331,Reclamação,WhatsApp,8.9,2,PROTO-2025-01-9533,29/01/2025 23:29,9.4,TV por Assinatura,Não,Financeiro,0.6,Pendente
089.473.615-93,Luana Silveira,SAC-8461,Elogio,Telefone,13.9,3,PROTO-2025-04-7390,15/04/2025 10:42,7.9,Planos,Sim,Comercial,3.0,Finalizado
795.062.138-95,Maysa Moura,SAC-1957,Elogio,WhatsApp,4.6,1,PROTO-2025-02-8492,18/03/2025 08:17,5.8,Planos,Não,Técnico,4.5,Finalizado
086.349.125-15,Diego Barbosa,SAC-8760,Dúvida,Chat,8.9,3,PROTO-2025-01-3252,05/01/2025 12:05,1.8,Planos,Sim,Comercial,1.0,Reaberto
582.067.134-17,Agatha Andrade,SAC-2457,Dúvida,Telefone,10.3,4,PROTO-2025-03-6960,08/01/2025 16:55,2.9,Telefonia,Sim,Técnico,4.0,Finalizado
530.678.912-95,Bernardo Barros,SAC-4736,Reclamação,E-mail,8.4,5,PROTO-2025-01-8129,22/01/2025 06:04,1.1,TV por Assinatura,Não,Financeiro,2.9,Pendente
167.023.485-17,Elisa Barbosa,SAC-5941,Elogio,E-mail,10.9,4,PROTO-2025-02-4473,04/04/2025 01:37,0.7,TV por Assinatura,Não,Comercial,3.1,Finalizado
153.204.968-42,Ana Luiza Correia,SAC-7533,Elogio,Chat,10.5,1,PROTO-2025-03-5749,01/02/2025 22:26,5.5,TV por Assinatura,Sim,Financeiro,4.6,Reaberto
347.186.205-62,Ana Sophia Fernandes,SAC-1442,Reclamação,Telefone,3.8,3,PROTO-2025-01-5252,20/03/2025 18:38,8.4,Telefonia,Não,Técnico,4.3,Finalizado
961.783.502-95,Dra. Ana Laura Pacheco,SAC-7251,Dúvida,Telefone,12.5,4,PROTO-2025-03-2512,04/03/2025 15:18,1.1,Telefonia,Não,Nenhum,1.3,Finalizado
074.982.651-76,Melissa Cunha,SAC-3286,Dúvida,WhatsApp,6.7,5,PROTO-2025-03-3205,08/03/2025 07:32,6.0,TV por Assinatura,Não,Comercial,4.7,Pendente
431.896.725-55,Alana Rezende,SAC-9514,Reclamação,Chat,5.3,3,PROTO-2025-02-6608,06/03/2025 13:20,9.0,Planos,Sim,Comercial,1.2,Reaberto
097.263.485-10,João Guilherme Silva,SAC-4890,Elogio,Telefone,5.0,2,PROTO-2025-02-8935,19/03/2025 07:36,0.9,Planos,Não,Financeiro,2.0,Finalizado
439.581.062-42,Yuri Nascimento,SAC-3984,Elogio,E-mail,5.1,2,PROTO-2025-01-2444,09/01/2025 14:51,2.4,Telefonia,Sim,Técnico,4.0,Reaberto
839.205.741-41,Dr. Cauê da Paz,SAC-7790,Elogio,E-mail,12.9,2,PROTO-2025-03-8254,16/01/2025 08:20,4.9,Telefonia,Não,Financeiro,4.3,Finalizado
231.450.986-24,Eloah Moura,SAC-5140,Elogio,Chat,9.9,3,PROTO-2025-03-5526,31/01/2025 07:46,2.5,Planos,Não,Técnico,0.8,Reaberto
985.420.371-97,Lívia Costela,SAC-8205,Reclamação,Chat,10.5,1,PROTO-2025-04-5006,14/02/2025 13:13,9.0,TV por Assinatura,Não,Nenhum,0.8,Finalizado
632.985.174-37,Clarice Ramos,SAC-2170,Reclamação,Telefone,13.6,4,PROTO-2025-03-5551,10/02/2025 06:21,6.7,Telefonia,Sim,Financeiro,2.5,Reaberto
894.175.632-46,Dr. Leandro da Cruz,SAC-6658,Dúvida,WhatsApp,3.3,2,PROTO-2025-02-6923,03/02/2025 10:39,3.9,TV por Assinatura,Sim,Nenhum,2.5,Pendente
760.453.921-16,Bento da Cunha,SAC-2818,Elogio,Telefone,12.4,4,PROTO-2025-03-5826,17/03/2025 12:14,1.8,Telefonia,Sim,Nenhum,4.8,Finalizado
690.273.581-68,Eloah Siqueira,SAC-7774,Reclamação,E-mail,12.0,4,PROTO-2025-02-6076,11/01/2025 03:50,3.4,Planos,Não,Nenhum,3.2,Finalizado
140.689.723-03,Sr. Vitor Hugo Porto,SAC-9766,Elogio,Chat,14.8,3,PROTO-2025-02-5139,12/01/2025 01:25,3.4,Planos,Sim,Financeiro,2.8,Pendente
782.590.643-83,Heitor Vasconcelos,SAC-6733,Dúvida,E-mail,13.5,5,PROTO-2025-03-8128,11/01/2025 01:21,2.8,Planos,Não,Comercial,0.7,Pendente
745.280.961-02,Mariana Aparecida,SAC-8187,Dúvida,Chat,11.3,4,PROTO-2025-04-6477,29/03/2025 03:47,9.7,TV por Assinatura,Não,Comercial,1.2,Pendente
927.561.340-07,Isaque Brito,SAC-8668,Solicitação,Chat,14.7,1,PROTO-2025-03-5955,11/02/2025 10:32,2.8,TV por Assinatura,Sim,Técnico,2.2,Finalizado
756.893.102-12,Luan Moreira,SAC-1257,Dúvida,WhatsApp,8.2,4,PROTO-2025-03-6087,03/01/2025 21:08,8.8,Internet,Não,Financeiro,2.8,Reaberto
714.802.936-87,Manuella Ribeiro,SAC-3315,Reclamação,E-mail,11.4,5,PROTO-2025-03-6759,20/02/2025 10:03,2.7,Internet,Não,Comercial,1.7,Reaberto
781.539.604-66,Sabrina Leão,SAC-6183,Elogio,WhatsApp,14.9,5,PROTO-2025-02-9283,24/03/2025 22:11,2.7,Telefonia,Não,Técnico,0.5,Reaberto
016.789.253-30,Ágatha Rezende,SAC-9928,Solicitação,WhatsApp,12.3,2,PROTO-2025-03-1366,21/01/2025 20:50,1.7,TV por Assinatura,Sim,Técnico,1.4,Reaberto
670.983.521-95,Matteo Ferreira,SAC-2057,Dúvida,WhatsApp,12.7,3,PROTO-2025-02-9494,21/03/2025 01:25,4.2,Internet,Não,Nenhum,1.3,Pendente
296.170.854-02,Ana Lívia Dias,SAC-1735,Solicitação,Telefone,8.2,5,PROTO-2025-03-3932,18/04/2025 10:16,7.7,Telefonia,Sim,Nenhum,4.4,Pendente
856.274.931-19,Luna da Rocha,SAC-5152,Solicitação,WhatsApp,11.7,5,PROTO-2025-03-1502,07/04/2025 23:13,9.6,Internet,Não,Comercial,2.3,Pendente
521.607.498-85,Thiago Casa Grande,SAC-9964,Reclamação,Telefone,3.1,1,PROTO-2025-03-8093,05/01/2025 13:07,9.3,Planos,Sim,Financeiro,1.6,Finalizado
934.607.158-39,Isaac da Conceição,SAC-7998,Dúvida,Telefone,5.6,4,PROTO-2025-02-3542,28/01/2025 07:07,9.1,Telefonia,Não,Comercial,1.1,Finalizado
236.948.750-00,Luiz Otávio Cunha,SAC-3860,Solicitação,Telefone,10.7,3,PROTO-2025-01-4059,16/01/2025 07:02,5.1,Planos,Não,Nenhum,2.6,Reaberto
536.820.741-71,Raquel Pires,SAC-2358,Solicitação,E-mail,13.2,4,PROTO-2025-03-2242,31/03/2025 03:38,5.0,Internet,Não,Técnico,3.3,Finalizado
054.817.632-90,João Gabriel Rios,SAC-8793,Solicitação,E-mail,12.4,5,PROTO-2025-01-4015,22/03/2025 09:58,0.5,Internet,Não,Financeiro,4.8,Pendente
913.462.857-64,Clarice Teixeira,SAC-7746,Dúvida,Chat,12.9,4,PROTO-2025-02-7998,09/01/2025 16:19,8.7,Telefonia,Sim,Financeiro,3.8,Finalizado
305.921.647-99,Daniela Pacheco,SAC-7848,Reclamação,E-mail,3.8,2,PROTO-2025-03-8284,24/01/2025 18:06,1.1,TV por Assinatura,Sim,Nenhum,2.7,Finalizado
513.627.048-90,Bryan Nascimento,SAC-9466,Dúvida,WhatsApp,12.8,2,PROTO-2025-04-7715,25/03/2025 04:18,2.8,Telefonia,Sim,Comercial,2.0,Finalizado
635.984.201-70,Brenda Mendes,SAC-9261,Solicitação,Chat,5.3,4,PROTO-2025-01-5237,21/03/2025 04:10,5.8,TV por Assinatura,Sim,Técnico,0.6,Finalizado
532.091.876-30,Thiago Vargas,SAC-8176,Reclamação,Telefone,11.3,2,PROTO-2025-03-4815,28/03/2025 20:15,6.7,Internet,Sim,Financeiro,2.8,Pendente
568.140.739-00,Esther Moura,SAC-7224,Solicitação,E-mail,9.5,1,PROTO-2025-03-9700,26/01/2025 12:24,5.6,Internet,Não,Nenhum,1.4,Finalizado
879.245.031-88,Francisco Teixeira,SAC-5790,Elogio,Chat,9.4,4,PROTO-2025-03-7555,22/03/2025 08:12,7.7,TV por Assinatura,Sim,Técnico,2.6,Finalizado
970.124.386-22,Anthony Gabriel Nunes,SAC-8738,Dúvida,WhatsApp,3.4,2,PROTO-2025-03-5109,20/02/2025 13:42,4.7,Telefonia,Sim,Técnico,3.3,Pendente
520.196.374-99,Vinicius Melo,SAC-1610,Reclamação,Telefone,15.0,4,PROTO-2025-03-1285,10/01/2025 21:15,4.6,Telefonia,Sim,Técnico,2.4,Finalizado
206.147.938-31,Vitória Barbosa,SAC-2512,Dúvida,Chat,6.3,5,PROTO-2025-01-2222,05/02/2025 09:54,2.1,Internet,Sim,Técnico,1.2,Reaberto
240.538.761-17,Nathan Cavalcanti,SAC-8247,Reclamação,Telefone,3.6,4,PROTO-2025-02-1477,14/02/2025 00:42,7.2,Planos,Sim,Técnico,1.9,Pendente
541.398.760-93,Davi Lucca Nunes,SAC-4762,Elogio,E-mail,11.8,2,PROTO-2025-01-7047,21/03/2025 14:29,4.4,Internet,Não,Técnico,4.2,Finalizado
382.574.619-46,Sr. Enzo Gabriel Mendes,SAC-2529,Elogio,WhatsApp,3.3,4,PROTO-2025-02-7304,24/03/2025 17:10,4.0,Telefonia,Não,Técnico,1.9,Reaberto
835.241.907-23,José Pedro Pinto,SAC-5135,Reclamação,WhatsApp,14.8,1,PROTO-2025-02-6541,15/04/2025 06:33,4.3,TV por Assinatura,Não,Nenhum,1.3,Reaberto
783.956.201-95,Cecilia Macedo,SAC-8951,Solicitação,E-mail,4.7,3,PROTO-2025-01-8727,15/01/2025 06:14,3.6,Planos,Sim,Técnico,1.9,Reaberto
978.352.460-74,Maria Luísa Mendonça,SAC-2082,Dúvida,Chat,9.9,5,PROTO-2025-01-1873,15/01/2025 05:43,8.3,TV por Assinatura,Sim,Financeiro,1.1,Reaberto
284.617.953-00,Luana Pimenta,SAC-7464,Dúvida,WhatsApp,3.8,3,PROTO-2025-04-6863,09/02/2025 21:22,8.0,Telefonia,Sim,Financeiro,2.9,Finalizado
695.027.318-59,Sr. Asafe Ferreira,SAC-8638,Solicitação,E-mail,4.3,1,PROTO-2025-01-5373,11/03/2025 19:49,7.9,Telefonia,Não,Comercial,1.7,Reaberto
430.256.819-42,Maria Isis Cirino,SAC-4688,Reclamação,E-mail,5.8,1,PROTO-2025-02-7756,16/02/2025 15:40,4.5,Planos,Sim,Financeiro,2.4,Pendente
578.409.326-65,Rodrigo Martins,SAC-9450,Elogio,WhatsApp,6.4,3,PROTO-2025-04-2500,01/04/2025 00:53,5.5,TV por Assinatura,Não,Financeiro,0.7,Reaberto
639.047.185-84,Maysa Casa Grande,SAC-2893,Reclamação,E-mail,9.9,2,PROTO-2025-03-5940,02/04/2025 17:02,5.9,Telefonia,Não,Nenhum,3.7,Pendente
567.981.302-59,Ayla Aragão,SAC-7009,Solicitação,Chat,13.5,4,PROTO-2025-04-9180,13/03/2025 17:34,1.2,TV por Assinatura,Não,Financeiro,1.5,Pendente
451.230.786-90,Guilherme Aparecida,SAC-3732,Solicitação,Chat,6.8,4,PROTO-2025-03-3254,14/03/2025 08:35,1.9,Telefonia,Não,Comercial,3.1,Reaberto
067.954.812-20,Maria Julia das Neves,SAC-8857,Reclamação,E-mail,9.2,4,PROTO-2025-03-2910,07/03/2025 18:06,4.0,TV por Assinatura,Sim,Técnico,3.0,Finalizado
154.607.398-10,Ana Liz Nunes,SAC-3328,Solicitação,E-mail,9.9,2,PROTO-2025-01-9292,28/01/2025 17:04,9.6,Telefonia,Sim,Financeiro,3.8,Finalizado
043.179.865-66,Leandro Viana,SAC-4908,Elogio,E-mail,6.8,4,PROTO-2025-01-9610,04/03/2025 02:08,2.2,Planos,Sim,Nenhum,4.2,Reaberto
471.359.068-10,Dr. Antony Machado,SAC-8702,Elogio,E-mail,12.1,5,PROTO-2025-02-5257,09/04/2025 11:16,3.7,Internet,Sim,Técnico,5.0,Pendente
586.479.302-74,Sr. Luigi Montenegro,SAC-2808,Elogio,Chat,12.8,4,PROTO-2025-02-4295,28/01/2025 20:57,3.6,TV por Assinatura,Sim,Nenhum,1.8,Pendente
643.825.170-44,Giovanna Nogueira,SAC-2147,Dúvida,Telefone,10.6,1,PROTO-2025-02-5841,06/01/2025 23:13,4.3,Telefonia,Sim,Nenhum,3.7,Reaberto
975.836.124-46,Sr. João Felipe Moraes,SAC-6159,Dúvida,Chat,6.1,3,PROTO-2025-02-3892,26/03/2025 19:20,4.3,Internet,Não,Comercial,3.6,Finalizado
315.807.429-04,Dr. Renan Cassiano,SAC-2657,Elogio,Telefone,14.4,4,PROTO-2025-02-5962,03/03/2025 22:16,0.8,Planos,Sim,Nenhum,4.8,Pendente
067.812.943-69,Srta. Isabel Almeida,SAC-8996,Elogio,Telefone,11.5,3,PROTO-2025-01-8899,05/04/2025 19:02,9.2,Planos,Sim,Financeiro,2.7,Finalizado
598.614.702-20,Ana Sophia Garcia,SAC-2582,Solicitação,Telefone,6.0,5,PROTO-2025-02-6276,22/01/2025 19:00,7.5,Internet,Não,Técnico,3.3,Finalizado
291.075.368-95,Bernardo Lopes,SAC-8943,Reclamação,Chat,6.1,1,PROTO-2025-01-9950,20/02/2025 23:33,5.3,Internet,Sim,Comercial,0.9,Pendente
072.396.415-70,Evelyn Peixoto,SAC-4944,Reclamação,E-mail,12.4,3,PROTO-2025-02-4383,05/02/2025 08:35,4.3,Telefonia,Sim,Técnico,2.1,Finalizado
513.740.829-88,Cauê Novais,SAC-5111,Reclamação,Chat,6.4,3,PROTO-2025-04-8964,01/03/2025 00:20,4.8,TV por Assinatura,Sim,Técnico,0.7,Pendente
647.021.835-08,Breno Farias,SAC-4700,Dúvida,E-mail,14.9,2,PROTO-2025-01-7097,04/04/2025 18:27,2.6,Internet,Sim,Nenhum,4.3,Reaberto
587.416.902-49,Sra. Cecilia Cardoso,SAC-4645,Dúvida,E-mail,6.4,5,PROTO-2025-02-2629,03/03/2025 03:28,9.0,Telefonia,Não,Financeiro,2.2,Reaberto
934.176.028-31,Lavínia Casa Grande,SAC-4784,Dúvida,WhatsApp,9.6,1,PROTO-2025-03-1162,09/03/2025 03:56,9.4,Telefonia,Sim,Nenhum,3.2,Pendente
243.807.916-96,Ana da Costa,SAC-8533,Dúvida,WhatsApp,12.0,1,PROTO-2025-01-2566,02/03/2025 23:18,7.5,Planos,Sim,Financeiro,3.1,Pendente
279.306.845-47,Cecília Albuquerque,SAC-4927,Dúvida,Telefone,8.6,3,PROTO-2025-02-2083,14/02/2025 15:04,1.2,Internet,Sim,Técnico,4.5,Pendente
841.079.562-02,Alexia Barros,SAC-3266,Dúvida,E-mail,4.7,4,PROTO-2025-02-5645,10/02/2025 23:21,1.2,Internet,Sim,Comercial,2.8,Finalizado
048.715.623-44,Mirella Duarte,SAC-5234,Dúvida,Chat,10.1,4,PROTO-2025-02-8248,16/02/2025 12:35,6.9,Planos,Não,Nenhum,2.0,Reaberto
438.069.712-69,Isabelly Silva,SAC-1068,Dúvida,WhatsApp,11.7,4,PROTO-2025-01-2930,24/03/2025 14:49,7.6,Planos,Sim,Nenhum,1.8,Pendente
297.864.135-55,Clarice Barros,SAC-5239,Reclamação,Chat,14.0,2,PROTO-2025-03-6651,02/02/2025 18:13,8.2,TV por Assinatura,Não,Comercial,2.6,Reaberto
140.652.897-85,Bruno Almeida,SAC-7857,Solicitação,Chat,6.7,4,PROTO-2025-02-8631,28/01/2025 15:42,1.6,Internet,Não,Nenhum,4.8,Pendente
501.298.374-23,Ísis Carvalho,SAC-7709,Dúvida,E-mail,10.9,2,PROTO-2025-01-8565,28/01/2025 23:37,1.5,Telefonia,Não,Nenhum,2.8,Finalizado
024.968.715-11,Ana Lívia Rodrigues,SAC-1847,Reclamação,E-mail,10.8,1,PROTO-2025-02-8793,17/03/2025 07:09,3.5,Planos,Sim,Comercial,5.0,Reaberto
610.852.473-17,Júlia Pimenta,SAC-8496,Dúvida,E-mail,6.3,1,PROTO-2025-01-7317,08/03/2025 10:51,5.1,Internet,Sim,Financeiro,5.0,Pendente
064.291.738-87,Sra. Maitê Freitas,SAC-6711,Dúvida,Chat,6.9,4,PROTO-2025-04-6191,09/02/2025 05:12,8.2,Planos,Sim,Técnico,3.4,Finalizado
419.726.053-99,Dr. Eduardo Andrade,SAC-8914,Solicitação,E-mail,9.0,2,PROTO-2025-03-7035,20/02/2025 19:10,4.7,TV por Assinatura,Não,Nenhum,2.0,Finalizado
318.697.025-30,Ana Vitória Silveira,SAC-7921,Solicitação,Telefone,10.3,1,PROTO-2025-03-8884,22/03/2025 03:19,8.0,TV por Assinatura,Não,Financeiro,1.9,Pendente
906.172.384-13,Luiz Felipe Correia,SAC-9189,Dúvida,Chat,12.1,3,PROTO-2025-01-8432,30/03/2025 11:56,5.1,Internet,Não,Técnico,4.6,Pendente
465.970.382-74,Camila Freitas,SAC-9596,Reclamação,WhatsApp,9.4,5,PROTO-2025-04-5460,15/04/2025 22:37,1.7,Planos,Sim,Comercial,3.3,Finalizado
391.852.704-23,Maria Sophia Carvalho,SAC-5230,Reclamação,WhatsApp,9.5,2,PROTO-2025-03-7457,26/02/2025 07:22,0.8,Internet,Sim,Comercial,2.4,Finalizado
956.183.720-02,Arthur Barros,SAC-3980,Solicitação,E-mail,10.2,1,PROTO-2025-03-5550,03/01/2025 19:25,3.1,Internet,Sim,Técnico,3.1,Pendente
137.540.698-10,Luara da Paz,SAC-4070,Reclamação,WhatsApp,3.8,2,PROTO-2025-01-3259,23/01/2025 22:13,2.1,TV por Assinatura,Não,Nenhum,3.9,Finalizado
319.204.765-80,Raul Oliveira,SAC-4869,Reclamação,Chat,11.4,2,PROTO-2025-04-6813,19/01/2025 01:10,4.5,Telefonia,Sim,Técnico,3.9,Reaberto
961.248.507-02,Renan Garcia,SAC-5480,Elogio,WhatsApp,13.1,1,PROTO-2025-02-6947,04/02/2025 20:37,8.6,Internet,Não,Nenhum,4.4,Pendente
517.924.306-80,Gustavo Porto,SAC-6250,Reclamação,Telefone,9.9,1,PROTO-2025-01-3267,21/01/2025 01:17,9.7,Telefonia,Não,Financeiro,2.2,Reaberto
395.678.102-30,Lavínia Pacheco,SAC-7119,Dúvida,E-mail,13.5,2,PROTO-2025-01-5799,10/03/2025 17:25,1.5,TV por Assinatura,Sim,Técnico,4.4,Finalizado
746.583.291-82,Juliana Andrade,SAC-1741,Reclamação,WhatsApp,4.1,2,PROTO-2025-02-1903,19/03/2025 22:53,7.3,Planos,Não,Técnico,4.8,Reaberto
872.640.351-07,Mariah Oliveira,SAC-2077,Elogio,Chat,13.9,5,PROTO-2025-03-6496,11/03/2025 16:53,5.2,Planos,Sim,Técnico,3.2,Finalizado
496.102.358-24,Pedro Miguel Rocha,SAC-1702,Elogio,Chat,9.1,4,PROTO-2025-02-8193,25/02/2025 07:54,1.4,Telefonia,Não,Técnico,1.7,Finalizado
763.251.890-86,Kevin Rezende,SAC-8522,Elogio,Telefone,9.8,4,PROTO-2025-01-5195,26/01/2025 13:08,3.8,Telefonia,Sim,Nenhum,1.6,Reaberto
812.937.564-82,Sr. João Pedro Siqueira,SAC-1112,Dúvida,WhatsApp,8.9,5,PROTO-2025-01-9548,07/02/2025 01:47,8.2,Planos,Sim,Comercial,1.8,Reaberto
270.689.514-49,Theodoro Ferreira,SAC-4089,Elogio,Chat,8.2,4,PROTO-2025-03-7792,01/04/2025 10:13,9.6,Planos,Sim,Financeiro,1.7,Pendente
796.218.053-68,Maria Helena Rodrigues,SAC-2425,Solicitação,Telefone,5.3,2,PROTO-2025-03-9443,07/02/2025 15:06,9.8,Planos,Sim,Técnico,0.8,Finalizado
017.643.895-57,Bruno Fogaça,SAC-3741,Elogio,Chat,11.4,1,PROTO-2025-04-6300,05/02/2025 03:19,8.6,Internet,Não,Nenhum,3.0,Reaberto
906.435.817-66,Antônio Moraes,SAC-3928,Elogio,Chat,7.8,4,PROTO-2025-01-7996,20/01/2025 00:35,3.1,TV por Assinatura,Sim,Financeiro,2.8,Finalizado
